Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
ANT1,Antenna,Johanson_2450AT18x100,82.5,-84.5,90.0,top
C1,4.7uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,88.5,-118.5,90.0,top
C10,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,79.0,-92.5,90.0,top
C11,10pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,87.0675,-93.55,0.0,top
C12,10pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,89.5,-100.55,0.0,top
C13,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,77.5,-102.0,0.0,top
C14,1pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,84.5,-89.0,90.0,top
C16,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,76.5,-95.0,180.0,top
C17,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,76.5,-96.0,0.0,top
C2,4.7uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,78.0,-120.5,0.0,top
C3,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,83.49,-110.5,180.0,top
C4,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,89.0,-120.5,180.0,top
C5,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,83.5,-115.0,180.0,top
C6,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,87.5,-111.0675,90.0,top
C7,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,86.0,-111.0,90.0,top
C8,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,83.5,-112.0,180.0,top
C9,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,83.5,-113.35,0.0,top
D1,LED_CHARGE,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,78.0,-119.5,0.0,top
D2,LED_CONN,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,73.0,-93.5,0.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,81.25,-125.085,180.0,top
J2,VBAT,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,91.45,-107.5,90.0,top
L1,2.7nH,L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,83.5,-89.0,90.0,top
L2,3.9nH,L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,82.5,-89.0,90.0,top
R1,5.1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,79.0,-116.0,90.0,top
R2,5.1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,82.0,-119.5,180.0,top
R3,2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,82.0,-118.0,180.0,top
R4,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,77.0,-91.5,90.0,top
R5,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,81.0,-92.5,-90.0,top
R6,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,76.5,-99.0,0.0,top
R7,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,80.5,-101.0,180.0,top
R8,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,78.0,-118.0,180.0,top
R9,330,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,77.0,-93.5,0.0,top
SW1,SW_POWER,450404015514,92.475,-118.0,-90.0,top
SW2,SW_BOOT,SW_SPST_TL3342,80.65,-105.5,180.0,top
SW3,SW_RESET,SW_SPST_TL3342,71.5,-89.5,180.0,top
SW4,SW_LOCK,SW_SPST_PTS645Sx43SMTR92,71.0,-101.5,-90.0,top
SW5,SW_UNLOCK,SW_SPST_PTS645Sx43SMTR92,71.0,-114.0,-90.0,top
U1,MCP73831-2-OT,SOT-23-5,85.5,-119.0,90.0,top
U2,AP2112K-3.3,SOT-23-5,88.0,-114.5,0.0,top
U3,ESP32-C3,QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,81.25,-97.05,-90.0,top
Y1,NX3225GD-40M,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,88.15,-97.05,-90.0,top
